Ticker,Best_Model,Best_Accuracy,RF_Accuracy,LR_Accuracy
META,LogisticRegression,0.5422374429223744,0.5136986301369864,0.5422374429223744
PYPL,LogisticRegression,0.5391459074733096,0.5249110320284698,0.5391459074733096
UNH,RandomForest,0.5285242809995285,0.5285242809995285,0.4912776991984913
WFC,LogisticRegression,0.5271098538425271,0.5007072135785007,0.5271098538425271
MMM,LogisticRegression,0.5252239509665252,0.4875058934464875,0.5252239509665252
MA,LogisticRegression,0.5250338294993234,0.4959404600811908,0.5250338294993234
T,RandomForest,0.5242809995285242,0.5242809995285242,0.5087223008015087
YUM,LogisticRegression,0.5233380480905233,0.48467703913248467,0.5233380480905233
WMS,LogisticRegression,0.5228658536585366,0.47560975609756095,0.5228658536585366
WMT,LogisticRegression,0.521923620933522,0.4898632720414899,0.521923620933522
